직종,세부직종,직무태그,근무경력,근무형태,근무지역,출신대학,대학전공,어학시험,자격증,대학성적,근무경력_원본,해외취업여부,근무지역1,근무지역2,근무지역3
영업·판매·TM,해외영업,"무역,해외영업",0,계약직,"서울,서울,일본",상지대학교,무역,불확실,有,80.0,0개월,x,서울,서울,일본
영업·판매·TM,해외영업,기타,33,계약직,"서울,인천,경기",인천대학교,무역,TOEIC,有,80.0,2년 9개월,x,서울,인천,경기
경영·기획·회계·사무,사무·총무·법무,일반사무직,0,계약직,"서울,,",경기대학교,행정,TOEIC,有,80.0,0개월,x,서울,서울,서울
영업·판매·TM,영업·영업기획,기타,0,계약직,"서울,서울,경기",선문대학교,경영,TOEIC,無,60.0,0개월,x,서울,서울,경기
경영·기획·회계·사무,비서·인포메이션·수행·안내,"비서,사무",0,계약직,"서울,서울,서울",성공회대학교,정보,미응시,無,60.0,0개월,x,서울,서울,서울
재료·화학·섬유·의복,에너지·환경,"환경,수질,수처리,하수처리,CAD,",0,계약직,"서울,경기,",상지대학교,환경,미응시,有,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,경리·회계,기타,0,정규직,"서울,서울,서울",성균관대학교,영어,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,"응용프로그래머(Unix,Linux,Java)",프로그래머,0,계약직,"서울,경기,",한성대학교,국어,미응시,無,80.0,0개월,x,서울,서울,서울
전문·교육·자격,호텔·숙박·여행,"영어,MS-Word,TESL",29,계약직,"서울,경기,",연세대학교,사학,TOEIC,有,80.0,2년 5개월,x,서울,서울,서울
영업·판매·TM,영업·영업기획,영업,0,계약직,"서울,경기,전북",호원대학교,컴퓨터,미응시,無,70.0,0개월,x,서울,경기,전북
IT·게임,서버·네트워크·보안,"서버,네트워크,DB관리,JAVA,JSP,ASP",0,계약직,"서울,경기,전북",전주대학교,기계,미응시,有,70.0,0개월,x,서울,경기,전북
IT·게임,시스템분석·설계·컨설턴트·ERP,"SAP,ABAP,전산프로그래머",0,계약직,"기타,,",한림대학교,컴퓨터,미응시,有,70.0,0개월,x,기타,기타,기타
영업·판매·TM,영업관리·영업지원,"영업기획,기술영업,유통영업,LCD영업,마케팅,마케팅기획,사업기획,패션마케팅",41,정규직,"서울,경기,경남",중앙대학교,경제,TOEIC,無,70.0,3년 5개월,x,서울,경기,경남
영업·판매·TM,영업·영업기획,관리직,0,계약직,"전북,전북,대전",전주대학교,경영,미응시,無,40.0,0개월,x,전북,전북,대전
영업·판매·TM,영업관리·영업지원,영업관리,0,계약직,"서울,경기,",성신여자대학교,불어,미응시,有,70.0,0개월,x,서울,서울,서울
IT·게임,서버·네트워크·보안,"MCSE,MCDBA,기획,마케팅,SE,시스템분석,OCP",0,계약직,"서울,광주,",목포대학교,물리,불확실,有,60.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,전기·전자·제어,개발,0,계약직,"충남,경기,서울",한밭대학교,전자,TOEIC,有,70.0,0개월,x,충남,경기,서울
경영·기획·회계·사무,경영·기획·전략,"CONSULTANT,MERCHANDISER,머천다이저,바이어,백화점MD,할인점MD,MD",154,정규직,"서울,,",이화여자대학교,신문,TOEIC,無,70.0,12년 10개월,x,서울,서울,서울
경영·기획·회계·사무,무역·수출입·운송사무,일본어,0,계약직,"서울,강원,",동덕여자대학교,일본,JLPT,有,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,무역·수출입·운송사무,"무역,해외영업,",0,계약직,"서울,인천,경기",인천대학교,무역,미응시,有,70.0,0개월,x,서울,인천,경기
영업·판매·TM,영업관리·영업지원,"편집디자인,photoshop,cad,웹마스터",0,계약직,"부산,서울,인도",동아대학교,정치,미응시,有,70.0,0개월,x,부산,서울,인도
IT·게임,"응용프로그래머(Unix,Linux,Java)","VisualC++,C++,Delphi,ASP,JAVA,XML,서버프로그래밍,네트웍프로그래밍",0,계약직,"서울,부산,",동아대학교,컴퓨터,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,영업·영업기획,"구조설계,CAD,photoshop,MIDAS,영어,영업관리",0,계약직,"서울,부산,경기",동아대학교,건축,TOEIC,有,80.0,0개월,x,서울,부산,경기
IT·게임,웹프로그래머,"Unix,Windows2000,리눅스,JAVA,자바,웹프로그래머,일본&#54387E20,SCJP,JSP,ASP,Servlet,웹마스터,EJB,mhtml,jsp,Java,SQL,xml,MySQL,AJAX",98,"정규직, 해외취업","서울,경기,일본",기타,통계,불확실,有,80.0,8년 2개월,o,서울,경기,일본
경영·기획·회계·사무,경리·회계,"급여관리,경리,관리,일반사무,",0,계약직,"서울,서울,서울",한성대학교,경영,미응시,無,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,경영·기획·전략,"기획,예산,원가,사업계획,손익,비용관리,경영분석,인사,총무",0,계약직,"서울,대전,경기",선문대학교,경영,미응시,無,70.0,0개월,x,서울,대전,경기
전문·교육·자격,외국어·번역·통역,"영어,외신,번역,통역,기자,편집,경제,금융,CPA,회계,자금",0,계약직,"서울,미국,해외",연세대학교,경영,TOEIC,有,80.0,0개월,x,서울,미국,해외
경영·기획·회계·사무,비서·인포메이션·수행·안내,비서및인사업무,0,계약직,"서울,경기,해외",동덕여자대학교,영어,미응시,無,80.0,0개월,x,서울,경기,해외
건설·기계·전기·전자,전기·전자·제어,"영어,전자,반도체,기술영업,단말기,전자부품",0,계약직,"서울,경기,충남",기타,전기,TOEIC,無,70.0,0개월,x,서울,경기,충남
경영·기획·회계·사무,인사·노무·교육·인재개발,인사업무,0,계약직,"서울,서울,서울",상지대학교,행정,미응시,無,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,광고·홍보,"홍보,광고,pr",0,계약직,"서울,경기,",서울여자대학교,사학,미응시,無,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,광고·홍보,"홍보,광고,pr",0,계약직,"서울,경기,",서울여자대학교,사학,미응시,無,80.0,0개월,x,서울,서울,서울
IT·게임,웹프로그래머,프로그래머,23,계약직,"서울,미국,캐나다",기타,정보,미응시,有,70.0,1년 11개월,x,서울,미국,캐나다
IT·게임,서버·네트워크·보안,"NETWORK,LINUX,SERVER,ROUTER,SWITCH,HUB,광전송장비",0,계약직,"서울,서울,경기",세종대학교,전산,미응시,有,70.0,0개월,x,서울,서울,경기
IT·게임,"응용프로그래머(Unix,Linux,Java)","델파이,자바",0,계약직,"광주,전남,서울",목포대학교,컴퓨터,미응시,無,70.0,0개월,x,광주,전남,서울
IT·게임,웹디자인,"웹디자인,포토샵,일러스트,플래쉬,html코딩",0,계약직,"서울,,",성신여자대학교,수학,미응시,無,90.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,건설·토목·건축설비,"안전,산업안전,안전관리",111,정규직,"인천,서울,경기",인천대학교,산업,미응시,有,80.0,9년 3개월,x,인천,서울,경기
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"일반사무,총무",0,계약직,"서울,서울,서울",군산대학교,의류,미응시,無,80.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,기계·기계설계·기계설비,시원하게따사롭게,0,계약직,"서울,경기,",동의대학교,기계,미응시,無,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,비서·인포메이션·수행·안내,비서,0,계약직,"서울,,",상지대학교,법,불확실,無,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,광고·홍보,"광고,홍보,PR,사무,기획",0,계약직,"서울,경기,",이화여자대학교,국어,불확실,有,50.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,물류·유통관리,"물류,물류기획,병원,의료,시스템운영,SM,방화벽,서버관리,MCSE,IIS,LAN,Windows2000,SQL,CCNA,정보보안,네트워크관리,전산기획,전산직",22,"정규직, 파견직","서울,경기,인천",성공회대학교,정보,불확실,有,70.0,1년 10개월,x,서울,경기,인천
영업·판매·TM,해외영업,"영어,일본어",0,계약직,"서울,캐나다,기타",동아대학교,전자,미응시,無,60.0,0개월,x,서울,캐나다,기타
경영·기획·회계·사무,경영·기획·전략,"프렌차이즈사업,경영,경영관리,조직관리,CEO,브랜드매니저,영업관리,거래처관리,영업기획,백화점영업,법인영업",231,정규직,"부산,서울,말레이시아",동아대학교,경영,미응시,無,70.0,19년 3개월,x,부산,서울,말레이시아
건설·기계·전기·전자,전기·전자·제어,"H,W,전자,ASIC",0,계약직,"서울,경기,",성균관대학교,전자,미응시,無,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,사무·총무·법무,"총무,인사,관리,사무관리,영업관리",0,계약직,"서울,서울,서울",성결대학교,지역,미응시,有,80.0,0개월,x,서울,서울,서울
IT·게임,시스템분석·설계·컨설턴트·ERP,기타,0,계약직,"서울,인천,해외",인천대학교,전자,TOEIC,有,70.0,0개월,x,서울,인천,해외
경영·기획·회계·사무,사무·총무·법무,"행정사무,영어,상담,",0,계약직,"광주,서울,",호남대학교,영어,TOEIC,有,70.0,0개월,x,광주,광주,광주
건설·기계·전기·전자,기계·기계설계·기계설비,"공조냉동,시설관리,CAD",0,계약직,"대전,경기,",한밭대학교,기계,미응시,有,80.0,0개월,x,대전,대전,대전
경영·기획·회계·사무,사무·총무·법무,"사무,경리,총무,인사",0,계약직,"대전,대전,대전",한밭대학교,전자,미응시,有,70.0,0개월,x,대전,대전,대전
재료·화학·섬유·의복,섬유·의복,남성복디자인,115,정규직,"서울,서울,",성균관대학교,섬유,미응시,無,70.0,9년 7개월,x,서울,서울,서울
경영·기획·회계·사무,마케팅·마케팅기획,"마케팅,기획,영어,엔터테인먼트",0,계약직,"서울,,",서울여자대학교,경영,TOEIC,無,70.0,0개월,x,서울,서울,서울
전문·교육·자격,교육·교사·교수·강사,영어강사,0,계약직,"인천,인천,서울",세명대학교,영어,미응시,無,70.0,0개월,x,인천,인천,서울
IT·게임,웹디자인,"웹디자인,인터페이스디자인",0,계약직,"서울,미국,캐나다",이화여자대학교,국어,미응시,無,70.0,0개월,x,서울,미국,캐나다
IT·게임,웹디자인,"웹디자인,UI디자인,인터페이스디자인",0,계약직,"서울,서울,서울",신라대학교,컴퓨터,JLPT,有,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,무역·수출입·운송사무,"상품기획,무역,해외영업,마케팅",0,계약직,"서울,,서울",성균관대학교,생명,TOEIC,有,70.0,0개월,x,서울,,서울
재료·화학·섬유·의복,섬유·의복,"Merchandiser경력3년차,영어,Marketing,외국계회사",0,계약직,"서울,서울,서울",이화여자대학교,섬유,TOEIC,有,70.0,0개월,x,서울,서울,서울
IT·게임,웹디자인,"웹디자인,인터페이스디자인",0,계약직,"서울,미국,캐나다",이화여자대학교,국어,미응시,無,70.0,0개월,x,서울,미국,캐나다
IT·게임,웹프로그래머,"웹마스터,웹프로그래머,서버관리,디비,메일서버관리",0,계약직,"서울,서울,서울",한성대학교,산업,미응시,無,70.0,0개월,x,서울,서울,서울
디자인,의류·패션·잡화디자인,"상품기획,니트디자인,",0,계약직,"서울,서울,경기",성균관대학교,의류,미응시,有,70.0,0개월,x,서울,서울,경기
경영·기획·회계·사무,구매·자재사무,"구매,자재,관리",105,"정규직, 계약직, ","서울,,",기타,전자,미응시,有,60.0,8년 9개월,x,서울,서울,서울
문화·예술·신문·방송,영상·음향·사진·카메라,"편집,연출,기획,출판",0,계약직,"서울,경기,",연세대학교,수학,미응시,無,60.0,0개월,x,서울,서울,서울
문화·예술·신문·방송,영상·음향·사진·카메라,편집,0,계약직,"서울,경기,",기타,생명,미응시,有,60.0,0개월,x,서울,서울,서울
IT·게임,웹프로그래머,"웹프로그래머,JAVA,JSP,XML,EJB,PHP,MSSQL,MYSQL,LINUX,SI,CRM",0,계약직,"서울,서울,서울",동덕여자대학교,전자,미응시,有,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,경리·회계,세무,0,계약직,"서울,경기,인천",경기대학교,경영,미응시,無,70.0,0개월,x,서울,경기,인천
경영·기획·회계·사무,광고·홍보,"홍보,언론홍보,PR",0,계약직,"서울,,",이화여자대학교,신문,미응시,無,60.0,0개월,x,서울,서울,서울
전문·교육·자격,교육·교사·교수·강사,"상담,비서,교육,영어",0,계약직,"경기,서울,",성신여자대학교,영어,미응시,無,70.0,0개월,x,경기,경기,경기
전문·교육·자격,교육·교사·교수·강사,영어유치원교사,0,계약직,"경기,,",서울여자대학교,영어,TOEIC,無,90.0,0개월,x,경기,경기,경기
IT·게임,"응용프로그래머(Unix,Linux,Java)","UNIX,Linux,PDA,S,W,C,C++,Qt,App,프로그래밍",0,계약직,"서울,경기,대전",제주대학교,컴퓨터,미응시,無,80.0,0개월,x,서울,경기,대전
전문·교육·자격,교육·교사·교수·강사,"수학,강사",0,계약직,"서울,경기,",성신여자대학교,수학,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,기술영업,"CAD,기술영업,기사",0,계약직,"부산,울산,경남",동의대학교,기계,미응시,無,60.0,0개월,x,부산,울산,경남
IT·게임,"응용프로그래머(Unix,Linux,Java)",DELPHI,0,계약직,"서울,서울,서울",호원대학교,전자,미응시,無,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,물류·유통관리,물류관리사,0,계약직,"서울,,",성균관대학교,영어,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,기술영업,"CAD,기술영업,기사",0,계약직,"부산,울산,경남",동의대학교,기계,미응시,無,60.0,0개월,x,부산,울산,경남
경영·기획·회계·사무,사무·총무·법무,관리업무및총무,0,계약직,"광주,광주,서울",광주대학교,행정,미응시,無,80.0,0개월,x,광주,광주,서울
영업·판매·TM,영업관리·영업지원,영업,0,계약직,"서울,경기,",성공회대학교,신학,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"PB.개인재무설계,",0,계약직,"전북,서울,서울",광주대학교,경영,미응시,有,80.0,0개월,x,전북,서울,서울
경영·기획·회계·사무,경영·기획·전략,"전산,기획",0,계약직,"서울,경기,",서원대학교,회계,미응시,有,80.0,0개월,x,서울,서울,서울
IT·게임,"응용프로그래머(Unix,Linux,Java)","VB,SI,ERP,RS232C,SQLSERVER,기획",0,계약직,"서울,,",세종대학교,영어,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,"응용프로그래머(Unix,Linux,Java)",금융,0,계약직,"서울,서울,서울",동덕여자대학교,전산,미응시,無,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,광고·홍보,홍보,0,계약직,"서울,강원,경기",상지대학교,사회,미응시,無,60.0,0개월,x,서울,강원,경기
영업·판매·TM,영업관리·영업지원,영업관리,0,계약직,"경남,부산,울산",동서대학교,보험,미응시,有,70.0,0개월,x,경남,부산,울산
경영·기획·회계·사무,생산관리·품질관리·품질보증,"품질관리,품질보증,ISO",77,정규직,"부산,경남,경북",동의대학교,산업,미응시,有,60.0,6년 5개월,x,부산,경남,경북
IT·게임,웹마스터,시스템엔지니어,0,계약직,"서울,대전,충남",호원대학교,전자,미응시,有,50.0,0개월,x,서울,대전,충남
IT·게임,"응용프로그래머(Unix,Linux,Java)","SI,SM,개발,프로그래머,MIS,PowerBuilder,PB,Oracle,OCP,CISA,Entera,Unix,C",0,계약직,"경남,부산,서울",동의대학교,사학,미응시,有,70.0,0개월,x,경남,부산,서울
재료·화학·섬유·의복,식품가공,"영업관리,식품가공,의약,거래처관리,매장관리,제약영업,자동차정비,건물관리,병의원영업,공무,튜닝,제약",108,"정규직, 계약직","서울,광주,전남",광주대학교,컴퓨터,미응시,有,60.0,9년 0개월,x,서울,광주,전남
전문·교육·자격,법률·법무·특허·상표,"법무,금융",0,계약직,"서울,전북,경기",성균관대학교,법,미응시,無,50.0,0개월,x,서울,전북,경기
IT·게임,웹기획·웹마케팅·PM,"인터넷,기획,마케팅,사무,언론홍보,MD,상품등록,상품기획",0,계약직,"서울,,",세명대학교,광고,불확실,無,70.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,전기·전자·제어,"전기,소방",0,계약직,"서울,경기,전남",목포대학교,전기,미응시,有,60.0,0개월,x,서울,경기,전남
영업·판매·TM,기술영업,"기술영업,영업관리",0,계약직,"서울,경기,부산",동의대학교,경영,미응시,無,60.0,0개월,x,서울,경기,부산
경영·기획·회계·사무,광고·홍보,"홍보,사보제작및편집,카피라이터,경력자",0,계약직,"서울,서울,서울",이화여자대학교,교육,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,웹마스터,"시스템운영,기술지원엔지니어,기술영업,OA",0,계약직,"서울,경기,인천",한성대학교,컴퓨터,TOEIC,有,80.0,0개월,x,서울,경기,인천
건설·기계·전기·전자,전기·전자·제어,"기술,전자,지원,고객지원,계측기,건축,건설기계,기계감리",48,정규직,"서울,서울,서울",세종대학교,정보,TOEIC,無,60.0,4년 0개월,x,서울,서울,서울
IT·게임,웹마스터,"시스템운영,기술지원(SE),엔지니어,기술영업,OA,Admin",0,계약직,"서울,경기,인천",한성대학교,컴퓨터,TOEIC,有,80.0,0개월,x,서울,경기,인천
건설·기계·전기·전자,건설·토목·건축설비,설계,127,정규직,"서울,경기,",선문대학교,토목,미응시,無,80.0,10년 7개월,x,서울,서울,서울
재료·화학·섬유·의복,제약·의약,"의료,보건,컴퓨터,강사,교육훈련",0,계약직,"서울,경기,",이화여자대학교,간호학,미응시,無,60.0,0개월,x,서울,서울,서울
IT·게임,웹프로그래머,"Web,Java,JSP,Oracle",0,계약직,"충북,대전,서울",연세대학교,기계,TOEIC,有,90.0,0개월,x,충북,대전,서울
IT·게임,웹마스터,"시스템운영,SM",50,정규직,"서울,경기,인천",전주대학교,산업,미응시,有,70.0,4년 2개월,x,서울,경기,인천
영업·판매·TM,해외영업,무역,37,정규직,"서울,경기,부산",기타,회계,TOEIC,有,80.0,3년 1개월,x,서울,경기,부산
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"고객상담,고객지원",0,계약직,"서울,서울,서울",성신여자대학교,중국,미응시,無,60.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,CAD·CAM,"연구,개발,설계,기술직",0,계약직,"대전,충남,충북",한밭대학교,기계,미응시,無,80.0,0개월,x,대전,충남,충북
경영·기획·회계·사무,경리·회계,"회계,자금",0,계약직,"서울,인천,경기",상지대학교,회계,미응시,無,80.0,0개월,x,서울,인천,경기
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"일반사무,상담",0,계약직,"서울,,",세종대학교,가정,TOEIC,無,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,마케팅·마케팅기획,"마케팅,A.E",0,계약직,"서울,부산,미국",연세대학교,정치,TOEIC,無,80.0,0개월,x,서울,부산,미국
전문·교육·자격,교육·교사·교수·강사,"강사,일본어,교사,일반사무직,무역,번역",0,계약직,"경기,서울,",신라대학교,교육,불확실,有,70.0,0개월,x,경기,경기,경기
IT·게임,웹마스터,"SM,시스템운영,시스템분석,시스템설계,웹프로그래머,SQL,데이터베이스,asp,전산직,전산기획",77,정규직,"서울,경기,",인천대학교,전산,미응시,有,70.0,6년 5개월,x,서울,서울,서울
경영·기획·회계·사무,인사·노무·교육·인재개발,"인사,인사관리,인재개발,HRD",80,정규직,"서울,서울,서울",전주대학교,경영,미응시,無,60.0,6년 8개월,x,서울,서울,서울
건설·기계·전기·전자,기계·기계설계·기계설비,"기계공학,영어가능,발전설비생산업체에서1년간근무경험.",0,계약직,"경기,서울,전북",군산대학교,기계,TOEIC,有,70.0,0개월,x,경기,서울,전북
경영·기획·회계·사무,경영·기획·전략,상품,0,계약직,"서울,해외,해외",중앙대학교,통계,미응시,無,70.0,0개월,x,서울,해외,해외
IT·게임,"응용프로그래머(Unix,Linux,Java)","VisualBasic,VB,ASP,SQLServer,Delphi,Oracle,MCDBA,MCSD,UML",0,계약직,"서울,경기,인천",동서대학교,컴퓨터,미응시,有,90.0,0개월,x,서울,경기,인천
전문·교육·자격,교육·교사·교수·강사,"초중고영어회화,주니어토익,L,C영어로수업진행",0,계약직,"서울,서울,서울",이화여자대학교,영어,미응시,無,60.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,전기·전자·제어,"전자회로설계,회로설계,Firmware,circuitdesign,fpga,vhdl,하드웨어,전자회로",145,정규직,"서울,경기,대전",동아대학교,전자,미응시,無,70.0,12년 1개월,x,서울,경기,대전
경영·기획·회계·사무,사무·총무·법무,"사무,관리",0,계약직,"경기,경기,경기",서원대학교,경영,미응시,無,60.0,0개월,x,경기,경기,경기
경영·기획·회계·사무,마케팅·마케팅기획,"웹디자인,포토샵,HTML,드림위버,플래쉬,전기,전기공사,전기기사,홍보,마케팅,마케팅기획",0,계약직,"서울,부산,인천",동아대학교,전기,미응시,有,70.0,0개월,x,서울,부산,인천
경영·기획·회계·사무,사무·총무·법무,"일본어,호텔,항공,컴퓨터활용능력,일본어통역",0,계약직,"경기,서울,전북",군산대학교,일본,TOEIC,有,90.0,0개월,x,경기,서울,전북
IT·게임,"응용프로그래머(Unix,Linux,Java)","iPhone,Embedded,C,C,linux,unix,Embedded,STB,Mobile,UnixC,임베디드리눅스,아이폰,맥,리눅스,임베디드,ObjC,오브젝티브씨,ObjectiveC,시스템프로그래머,이동통신",121,정규직,"서울,경기,대전",상지대학교,통계,IELTS,有,70.0,10년 1개월,x,서울,경기,대전
경영·기획·회계·사무,기타 경영·기획·회계·사무,건설회사현장관리,0,계약직,"서울,경기,인천",전주대학교,법,미응시,無,70.0,0개월,x,서울,경기,인천
경영·기획·회계·사무,기타 경영·기획·회계·사무,건설회사현장관리,0,계약직,"서울,경기,인천",전주대학교,법,미응시,無,70.0,0개월,x,서울,경기,인천
IT·게임,"응용프로그래머(Unix,Linux,Java)","MSSQL,Oracle,VisualBasic,XML",0,계약직,"서울,서울,서울",상지대학교,자원,미응시,有,50.0,0개월,x,서울,서울,서울
영업·판매·TM,해외영업,RESUME,0,계약직,"서울,경기,",기타,식품,TOEIC,無,80.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,전기·전자·제어,"생산기술,반도체장비,CADCAM,자동차,항공,기계설계",0,계약직,"충남,대전,경남",성균관대학교,금속,미응시,無,70.0,0개월,x,충남,대전,경남
IT·게임,서버·네트워크·보안,"Unix,보안,네트워크,시스템관리",0,계약직,"서울,경기,인천",중앙대학교,경제,미응시,有,70.0,0개월,x,서울,경기,인천
디자인,제품·산업디자인,"산업디지인,제품디자인,CAD",0,계약직,"전국,전국,전국",동의대학교,디자인,미응시,無,80.0,0개월,x,전국,전국,전국
경영·기획·회계·사무,사무·총무·법무,"경영,사무,관리",0,계약직,"경기,서울,기타",서원대학교,환경,미응시,有,50.0,0개월,x,경기,서울,기타
문화·예술·신문·방송,영상·음향·사진·카메라,"작가,시나리오,취재기자,방송",0,계약직,"서울,대전,경기",서원대학교,경영,미응시,無,70.0,0개월,x,서울,대전,경기
재료·화학·섬유·의복,섬유·의복,"의류,의상,디자이너,디자인,판매,팀장,아동복,제조",0,계약직,"서울,경기,",중앙대학교,의류,미응시,無,80.0,0개월,x,서울,서울,서울
재료·화학·섬유·의복,제약·의약,7277,0,계약직,"전북,광주,",전주대학교,산업,미응시,無,50.0,0개월,x,전북,전북,전북
문화·예술·신문·방송,영상·음향·사진·카메라,기타,0,계약직,"서울,경기,충북",성균관대학교,한문학,미응시,無,70.0,0개월,x,서울,경기,충북
문화·예술·신문·방송,영상·음향·사진·카메라,기타,0,계약직,"서울,경기,충북",성균관대학교,한문학,미응시,無,70.0,0개월,x,서울,경기,충북
경영·기획·회계·사무,경영·기획·전략,"MD,상품기획,BUYER,홍보,해외영업,기획,",0,계약직,"서울,,",이화여자대학교,의류,TOEIC,無,70.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,기계·기계설계·기계설비,"CAD,기계설비,기계설계,메카트로닉스,엔지니어,자동화,연구개발,기계",0,계약직,"경기,서울,경기",기타,기계,미응시,無,70.0,0개월,x,경기,서울,경기
문화·예술·신문·방송,영상·음향·사진·카메라,"기자(취재,사보,편집),카피라이터,출판,광고",0,계약직,"서울,서울,서울",동덕여자대학교,국어,TOEIC,有,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,광고·홍보,"카피,홍보,광고,편집",0,계약직,"서울,서울,서울",동덕여자대학교,국어,TOEIC,有,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,비서·인포메이션·수행·안내,임원비서,0,계약직,"서울,미국,해외",이화여자대학교,의류,TOEFL,有,70.0,0개월,x,서울,미국,해외
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"고객관리,분쟁조정,마케팅활성화",0,계약직,"서울,경기,",이화여자대학교,정치,미응시,無,60.0,0개월,x,서울,서울,서울
전문·교육·자격,교육·교사·교수·강사,기타,0,계약직,"서울,,",성신여자대학교,교육,미응시,無,70.0,0개월,x,서울,서울,서울
